poll_id,source,source_url,date,question_type,question_wording,topic,issue_area,support_pct,oppose_pct,net,sample_size,methodology,population,moe,tags,data_quality,notes
IPS_20260320_004,Ipsos/Reuters,https://www.ipsos.com/,2026-03,approval,Approve of US military strikes against Iran?,foreign_policy,iran_conflict,35,61,-26,1272,online_panel,adults,2.8,iran;military_strikes,structured_poll,
GALLUP_20260202_1829,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-02-02,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,25.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20260102_1828,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2026-01-02,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,28.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
PEW_20260101_001,Pew Research Center,https://www.pewresearch.org/2026/02/23/state-of-the-union-2026/,2026-01,approval,"How would you rate national economic conditions? Excellent, good, only fair, or poor?",economy,economy_general,28,72,-44,10000,online_panel,adults,,economy;approval;state_of_union,structured_poll,
PEW_20260101_002,Pew Research Center,https://www.pewresearch.org/2026/02/23/state-of-the-union-2026/,2026-01,concern,How concerned are you about the cost of health care?,healthcare,healthcare_cost,71,,,10000,online_panel,adults,,healthcare;costs;concern,structured_poll,
PEW_20260101_003,Pew Research Center,https://www.pewresearch.org/2026/02/23/state-of-the-union-2026/,2026-01,concern,How concerned are you about food and consumer goods prices?,economy,food_prices,66,,,10000,online_panel,adults,,food_prices;inflation;concern,structured_poll,
PEW_20260101_004,Pew Research Center,https://www.pewresearch.org/2026/02/23/state-of-the-union-2026/,2026-01,concern,How concerned are you about housing costs?,economy,housing,62,,,10000,online_panel,adults,,housing;costs;concern,structured_poll,
PEW_20260101_005,Pew Research Center,https://www.pewresearch.org/2026/02/23/state-of-the-union-2026/,2026-01,approval,Do you approve or disapprove of Trump's tariff increases?,economy,tariffs,37,60,-23,10000,online_panel,adults,,tariffs;trump;approval,structured_poll,"93% Dems disapprove, 71% GOP approve"
PEW_20260101_006,Pew Research Center,https://www.pewresearch.org/2026/02/23/state-of-the-union-2026/,2026-01,favor,Favor strong military presence at US-Mexico border?,immigration,border_security,62,,,10000,online_panel,adults,,immigration;border;military,structured_poll,
PEW_20260101_007,Pew Research Center,https://www.pewresearch.org/2026/02/23/state-of-the-union-2026/,2026-01,oppose,Oppose suspending all applications for asylum?,immigration,asylum,,66,,10000,online_panel,adults,,immigration;asylum;suspension,structured_poll,
APN_20260108_001,AP-NORC,https://apnorc.org/projects/the-public-is-concerned-about-trumps-policy-priorities/,2026-01,approval,Trump focusing on right or wrong priorities?,politics,presidential_priorities,20,50,-30,1150,online_panel,adults,3.5,trump;priorities,structured_poll,
APN_20260108_002,AP-NORC,https://apnorc.org/projects/the-public-is-concerned-about-trumps-policy-priorities/,2026-01,approval,Has Trump been a good or great president in second term?,politics,presidential_approval,30,53,-23,1150,online_panel,adults,3.5,trump;approval,structured_poll,"30% good/great, 17% average, ~53% poor"
APN_20260108_003,AP-NORC,https://apnorc.org/projects/the-public-is-concerned-about-trumps-policy-priorities/,2026-01,approval,Trump gone too far on tariffs?,economy,tariffs,,60,,1150,online_panel,adults,3.5,trump;tariffs;overreach,structured_poll,60% say 'gone too far'
GALLUP_20251201_1792,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,35.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20251201_1793,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,34.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20251201_1794,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,15.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20251201_1795,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,inflation,11.0,,,1000,phone,adults,4.0,most_important_problem;economy;inflation,structured_poll,
GALLUP_20251201_1796,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,budget_deficit,2.0,,,1000,phone,adults,4.0,most_important_problem;economy;budget_deficit,structured_poll,
GALLUP_20251201_1797,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,unemployment,2.0,,,1000,phone,adults,4.0,most_important_problem;economy;unemployment,structured_poll,
GALLUP_20251201_1798,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,poverty,2.0,,,1000,phone,adults,4.0,most_important_problem;economy;poverty,structured_poll,
GALLUP_20251201_1799,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,inequality,2.0,,,1000,phone,adults,4.0,most_important_problem;economy;inequality,structured_poll,
GALLUP_20251201_1800,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,taxes,1.0,,,1000,phone,adults,4.0,most_important_problem;economy;taxes,structured_poll,
GALLUP_20251201_1801,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,wages,2.0,,,1000,phone,adults,4.0,most_important_problem;economy;wages,structured_poll,
GALLUP_20251201_1802,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,corruption,1.0,,,1000,phone,adults,4.0,most_important_problem;economy;corruption,structured_poll,
GALLUP_20251201_1803,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,government_general,71.0,,,1000,phone,adults,4.0,most_important_problem;government;government_general,structured_poll,
GALLUP_20251201_1804,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,government_leadership,20.0,,,1000,phone,adults,4.0,most_important_problem;government;government_leadership,structured_poll,
GALLUP_20251201_1805,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],immigration,immigration_general,17.0,,,1000,phone,adults,4.0,most_important_problem;immigration;immigration_general,structured_poll,
GALLUP_20251201_1806,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,judicial_system,2.0,,,1000,phone,adults,4.0,most_important_problem;government;judicial_system,structured_poll,
GALLUP_20251201_1807,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],race,race_relations,4.0,,,1000,phone,adults,4.0,most_important_problem;race;race_relations,structured_poll,
GALLUP_20251201_1808,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,election_reform,3.0,,,1000,phone,adults,4.0,most_important_problem;government;election_reform,structured_poll,
GALLUP_20251201_1809,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,national_unity,5.0,,,1000,phone,adults,4.0,most_important_problem;government;national_unity,structured_poll,
GALLUP_20251201_1810,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,poverty_homelessness,3.0,,,1000,phone,adults,4.0,most_important_problem;economy;poverty_homelessness,structured_poll,
GALLUP_20251201_1811,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],crime,crime_violence,3.0,,,1000,phone,adults,4.0,most_important_problem;crime;crime_violence,structured_poll,
GALLUP_20251201_1812,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],education,education_general,2.0,,,1000,phone,adults,4.0,most_important_problem;education;education_general,structured_poll,
GALLUP_20251201_1813,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],society,moral_decline,5.0,,,1000,phone,adults,4.0,most_important_problem;society;moral_decline,structured_poll,
GALLUP_20251201_1814,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],society,social_respect,2.0,,,1000,phone,adults,4.0,most_important_problem;society;social_respect,structured_poll,
GALLUP_20251201_1815,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],healthcare,healthcare_general,3.0,,,1000,phone,adults,4.0,most_important_problem;healthcare;healthcare_general,structured_poll,
GALLUP_20251201_1816,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,foreign_policy,2.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;foreign_policy,structured_poll,
GALLUP_20251201_1817,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,media,2.0,,,1000,phone,adults,4.0,most_important_problem;government;media,structured_poll,
GALLUP_20251201_1818,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],crime,drugs,1.0,,,1000,phone,adults,4.0,most_important_problem;crime;drugs,structured_poll,
GALLUP_20251201_1819,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],society,lgbtq_rights,1.0,,,1000,phone,adults,4.0,most_important_problem;society;lgbtq_rights,structured_poll,
GALLUP_20251201_1820,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,war_fear,1.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;war_fear,structured_poll,
GALLUP_20251201_1821,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,national_security,1.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;national_security,structured_poll,
GALLUP_20251201_1822,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],climate,climate_change,2.0,,,1000,phone,adults,4.0,most_important_problem;climate;climate_change,structured_poll,
GALLUP_20251201_1823,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],guns,gun_control,1.0,,,1000,phone,adults,4.0,most_important_problem;guns;gun_control,structured_poll,
GALLUP_20251201_1824,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],abortion,abortion_general,2.0,,,1000,phone,adults,4.0,most_important_problem;abortion;abortion_general,structured_poll,
GALLUP_20251201_1825,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,russia,1.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;russia,structured_poll,
GALLUP_20251201_1826,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],other,other,4.0,,,1000,phone,adults,4.0,most_important_problem;other;other,structured_poll,
GALLUP_20251201_1827,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-12-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],other,no_opinion,1.0,,,1000,phone,adults,4.0,most_important_problem;other;no_opinion,structured_poll,
APN_20251204_001,AP-NORC,https://apnorc.org/projects/2026-the-publics-priorities-and-expectations/,2025-12,priority,Government priorities: economic issues (open-ended),economy,general,70,,,1150,online_panel,adults,3.5,priorities;economy,structured_poll,70% mentioned at least one economic issue
APN_20251204_002,AP-NORC,https://apnorc.org/projects/2026-the-publics-priorities-and-expectations/,2025-12,priority,Government priorities: immigration,immigration,general,44,,,1150,online_panel,adults,3.5,priorities;immigration,structured_poll,
APN_20251204_003,AP-NORC,https://apnorc.org/projects/2026-the-publics-priorities-and-expectations/,2025-12,priority,Government priorities: health care,healthcare,general,41,,,1150,online_panel,adults,3.5,priorities;healthcare,structured_poll,Up from 33% in 2025
GALLUP_20251103_1791,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-03,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,30.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20251101_1759,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,33.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20251101_1760,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,17.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20251101_1761,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,inflation,11.0,,,1000,phone,adults,4.0,most_important_problem;economy;inflation,structured_poll,
GALLUP_20251101_1762,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,budget_deficit,3.0,,,1000,phone,adults,4.0,most_important_problem;economy;budget_deficit,structured_poll,
GALLUP_20251101_1763,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,unemployment,2.0,,,1000,phone,adults,4.0,most_important_problem;economy;unemployment,structured_poll,
GALLUP_20251101_1764,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,poverty,1.0,,,1000,phone,adults,4.0,most_important_problem;economy;poverty,structured_poll,
GALLUP_20251101_1765,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,inequality,1.0,,,1000,phone,adults,4.0,most_important_problem;economy;inequality,structured_poll,
GALLUP_20251101_1766,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,taxes,1.0,,,1000,phone,adults,4.0,most_important_problem;economy;taxes,structured_poll,
GALLUP_20251101_1767,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,energy_prices,1.0,,,1000,phone,adults,4.0,most_important_problem;economy;energy_prices,structured_poll,
GALLUP_20251101_1768,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,government_general,70.0,,,1000,phone,adults,4.0,most_important_problem;government;government_general,structured_poll,
GALLUP_20251101_1769,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,government_leadership,21.0,,,1000,phone,adults,4.0,most_important_problem;government;government_leadership,structured_poll,
GALLUP_20251101_1770,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],immigration,immigration_general,20.0,,,1000,phone,adults,4.0,most_important_problem;immigration;immigration_general,structured_poll,
GALLUP_20251101_1771,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,judicial_system,2.0,,,1000,phone,adults,4.0,most_important_problem;government;judicial_system,structured_poll,
GALLUP_20251101_1772,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],race,race_relations,3.0,,,1000,phone,adults,4.0,most_important_problem;race;race_relations,structured_poll,
GALLUP_20251101_1773,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,election_reform,2.0,,,1000,phone,adults,4.0,most_important_problem;government;election_reform,structured_poll,
GALLUP_20251101_1774,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,national_unity,5.0,,,1000,phone,adults,4.0,most_important_problem;government;national_unity,structured_poll,
GALLUP_20251101_1775,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,poverty_homelessness,3.0,,,1000,phone,adults,4.0,most_important_problem;economy;poverty_homelessness,structured_poll,
GALLUP_20251101_1776,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],crime,crime_violence,3.0,,,1000,phone,adults,4.0,most_important_problem;crime;crime_violence,structured_poll,
GALLUP_20251101_1777,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],education,education_general,1.0,,,1000,phone,adults,4.0,most_important_problem;education;education_general,structured_poll,
GALLUP_20251101_1778,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],society,moral_decline,2.0,,,1000,phone,adults,4.0,most_important_problem;society;moral_decline,structured_poll,
GALLUP_20251101_1779,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],society,social_respect,2.0,,,1000,phone,adults,4.0,most_important_problem;society;social_respect,structured_poll,
GALLUP_20251101_1780,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],healthcare,healthcare_general,3.0,,,1000,phone,adults,4.0,most_important_problem;healthcare;healthcare_general,structured_poll,
GALLUP_20251101_1781,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,foreign_policy,3.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;foreign_policy,structured_poll,
GALLUP_20251101_1782,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],government,media,1.0,,,1000,phone,adults,4.0,most_important_problem;government;media,structured_poll,
GALLUP_20251101_1783,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,war_fear,1.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;war_fear,structured_poll,
GALLUP_20251101_1784,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,national_security,1.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;national_security,structured_poll,
GALLUP_20251101_1785,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],climate,climate_change,2.0,,,1000,phone,adults,4.0,most_important_problem;climate;climate_change,structured_poll,
GALLUP_20251101_1786,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],abortion,abortion_general,2.0,,,1000,phone,adults,4.0,most_important_problem;abortion;abortion_general,structured_poll,
GALLUP_20251101_1787,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,russia,1.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;russia,structured_poll,
GALLUP_20251101_1788,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],foreign_policy,middle_east_war,1.0,,,1000,phone,adults,4.0,most_important_problem;foreign_policy;middle_east_war,structured_poll,
GALLUP_20251101_1789,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],other,other,5.0,,,1000,phone,adults,4.0,most_important_problem;other;other,structured_poll,
GALLUP_20251101_1790,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-11-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],other,no_opinion,3.0,,,1000,phone,adults,4.0,most_important_problem;other;no_opinion,structured_poll,
GALLUP_20251001_1758,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-10-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,24.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20250901_1757,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-09-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,24.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20250801_1756,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-08-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,34.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20250707_1755,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-07-07,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,27.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20250602_1754,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-06-02,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,33.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20250501_1716,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-05-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,35.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20250501_1717,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-05-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,economy_general,16.0,,,1000,phone,adults,4.0,most_important_problem;economy;economy_general,structured_poll,
GALLUP_20250501_1718,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-05-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,inflation,8.0,,,1000,phone,adults,4.0,most_important_problem;economy;inflation,structured_poll,
GALLUP_20250501_1719,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-05-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,trade,4.0,,,1000,phone,adults,4.0,most_important_problem;economy;trade,structured_poll,
GALLUP_20250501_1720,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-05-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,budget_deficit,3.0,,,1000,phone,adults,4.0,most_important_problem;economy;budget_deficit,structured_poll,
GALLUP_20250501_1721,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-05-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,unemployment,3.0,,,1000,phone,adults,4.0,most_important_problem;economy;unemployment,structured_poll,
GALLUP_20250501_1722,Gallup,https://news.gallup.com/poll/1675/most-important-problem.aspx,2025-05-01,most_important_problem,What do you think is the most important problem facing this country today? [Open-ended],economy,poverty,2.0,,,1000,phone,adults,4.0,most_important_problem;economy;poverty,structured_poll,
